INST,BKS,F alpha,Florian,diff,diff bks
TA_20_5_0,14033,14033,14033,0.00,0.00
TA_20_5_1,15151,15151,15151,0.00,0.00
TA_20_5_2,13301,13301,13301,0.00,0.00
TA_20_5_3,15447,15447,15447,0.00,0.00
TA_20_5_4,13529,13529,13529,0.00,0.00
TA_20_5_5,13123,13123,13123,0.00,0.00
TA_20_5_6,13548,13548,13548,0.00,0.00
TA_20_5_7,13948,13948,13948,0.00,0.00
TA_20_5_8,14295,14295,14295,0.00,0.00
TA_20_5_9,12943,12943,12943,0.00,0.00
TA_20_10_0,20911,20911,20911,0.00,0.00
TA_20_10_1,22440,22440,22440,0.00,0.00
TA_20_10_2,19833,19833,19833,0.00,0.00
TA_20_10_3,18710,18710,18710,0.00,0.00
TA_20_10_4,18641,18641,18641,0.00,0.00
TA_20_10_5,19245,19245,19245,0.00,0.00
TA_20_10_6,18363,18363,18363,0.00,0.00
TA_20_10_7,20241,20241,20241,0.00,0.00
TA_20_10_8,20330,20330,20330,0.00,0.00
TA_20_10_9,21320,21320,21320,0.00,0.00
TA_20_20_0,33623,33623,33623,0.00,0.00
TA_20_20_1,31587,31587,31587,0.00,0.00
TA_20_20_2,33920,33920,33920,0.00,0.00
TA_20_20_3,31661,31661,31661,0.00,0.00
TA_20_20_4,34557,34557,34557,0.00,0.00
TA_20_20_5,32564,32564,32564,0.00,0.00
TA_20_20_6,32922,32922,32922,0.00,0.00
TA_20_20_7,32412,32412,32412,0.00,0.00
TA_20_20_8,33600,33600,33600,0.00,0.00
TA_20_20_9,32262,32262,32262,0.00,0.00
TA_50_5_0,64802,64886,64896,-0.02,0.13
TA_50_5_1,68051,68074,68074,0.00,0.03
TA_50_5_2,63162,63162,63162,0.00,0.00
TA_50_5_3,68226,68226,68226,0.00,0.00
TA_50_5_4,69351,69490,69488,0.00,0.20
TA_50_5_5,66841,66852,66841,0.02,0.02
TA_50_5_6,66253,66287,66287,0.00,0.05
TA_50_5_7,64332,64446,64359,0.14,0.18
TA_50_5_8,62981,63317,63278,0.06,0.53
TA_50_5_9,68770,68834,68834,0.00,0.09
TA_50_10_0,87114,87140,87140,0.00,0.03
TA_50_10_1,82820,82820,82820,0.00,0.00
TA_50_10_2,79931,79996,79996,0.00,0.08
TA_50_10_3,86446,86446,86446,0.00,0.00
TA_50_10_4,86377,86411,86388,0.03,0.04
TA_50_10_5,86587,86650,86650,0.00,0.07
TA_50_10_6,88750,89083,89083,0.00,0.38
TA_50_10_7,86727,86839,86839,0.00,0.13
TA_50_10_8,85441,85604,85604,0.00,0.19
TA_50_10_9,87998,88077,88077,0.00,0.09
TA_50_20_0,125831,125850,125849,0.00,0.02
TA_50_20_1,119247,119270,119341,-0.06,0.02
TA_50_20_2,116459,116536,116536,0.00,0.07
TA_50_20_3,120261,121025,120923,0.08,0.64
TA_50_20_4,118184,118379,118379,0.00,0.16
TA_50_20_5,120586,120586,120586,0.00,0.00
TA_50_20_6,122880,123120,123120,0.00,0.20
TA_50_20_7,122489,122583,122980,-0.32,0.08
TA_50_20_8,121872,121872,121872,0.00,0.00
TA_50_20_9,123954,124168,124168,0.00,0.17
TA_100_5_0,252780,252687,252687,0.00,-0.04
TA_100_5_1,241738,241702,241593,0.05,-0.01
TA_100_5_2,237331,237289,237329,-0.02,-0.02
TA_100_5_3,227335,227453,227358,0.04,0.05
TA_100_5_4,240114,240158,239983,0.07,0.02
TA_100_5_5,232078,231992,232000,0.00,-0.04
TA_100_5_6,239994,240174,240093,0.03,0.08
TA_100_5_7,230328,230290,230290,0.00,-0.02
TA_100_5_8,247478,247417,247412,0.00,-0.02
TA_100_5_9,242933,243209,243213,0.00,0.11
TA_100_10_0,298385,297069,297069,0.00,-0.44
TA_100_10_1,273282,273014,273116,-0.04,-0.10
TA_100_10_2,287614,287584,287559,0.01,-0.01
TA_100_10_3,300738,299467,299467,0.00,-0.42
TA_100_10_4,283961,283437,283437,0.00,-0.18
TA_100_10_5,269664,268493,268493,0.00,-0.43
TA_100_10_6,279463,279616,279647,-0.01,0.05
TA_100_10_7,290252,289334,289334,0.00,-0.32
TA_100_10_8,301967,301312,301310,0.00,-0.22
