instance_class,IBS_forward_bound,IBS_forward_idle,IBS_forward_alpha
20_5,0.0001,0.2154094325075388,2.315910881097063,0.0
20_10,0.0,0.25728679086237477,0.9111216255915396,0.0
20_20,0.0,0.19368902506968305,0.4805310675694484,0.0
50_5,0.31,1.5407388492503178,6.21031170316966,0.11256695665875605
50_10,0.35,3.7306291526294175,2.8888370451654963,0.07339289488632615
50_20,0.29,3.823287725266384,1.3475779651156585,0.12375030029021869
100_5,0.81,3.7081182445391954,8.700384258442536,-0.16416785328840525
100_10,0.79,6.870438991490573,3.956090900774645,-0.3987278097785813
100_20,0.83,7.650403942567271,1.3075164228727636,-0.3022583283462956
200_10,0.64,9.613533055934475,5.082212331613894,-1.0953141217151852
200_20,0.39,11.492770970707578,0.382176586983282,-1.7469453159160833
500_20,0.24,15.847635452841013,0.7463824072890909,-2.4686356527016535
