instance_class,IBS_forward_bound,IBS_forward_idle,IBS_forward_alpha
20_5,0.01,0.2154094325075388,2.412826136285096,0.0
20_10,0.0,0.2797629995563635,0.9111216255915396,0.0
20_20,0.0,0.19368902506968305,0.4805310675694484,0.0
50_5,0.28,1.7744093951956832,6.21031170316966,0.12353927133065119
50_10,0.47,4.09218217904812,2.8888370451654963,0.07339289488632615
50_20,0.63,3.823287725266384,1.3475779651156585,0.12375030029021869
100_5,0.22,3.833732324513852,8.700384258442536,-0.14843715229635943
100_10,0.27,7.2415296494934704,3.956090900774645,-0.38311004485364386
100_20,0.83,8.324722670036284,1.3075164228727636,-0.3022583283462956
200_10,-0.71,9.613533055934475,5.082212331613894,-1.070415716447048
200_20,-0.83,12.126215881342963,0.382176586983282,-1.7163602684109076
500_20,-1.9,16.40925287869047,0.7463824072890909,-2.3907340662412393
