instance,best_known,ALGirtct,shake_ls,IBS_forward_alpha_primal
TA20_5_0,14033,14033,14033,14033
TA20_5_1,15151,15151,15151,15151
TA20_5_2,13301,13301,13301,13301
TA20_5_3,15447,15447,15447,15447
TA20_5_4,13529,13529,13529,13529
TA20_5_5,13123,13123,13123,13123
TA20_5_6,13548,13548,13548,13548
TA20_5_7,13948,13948,13948,13948
TA20_5_8,14295,14295,14295,14295
TA20_5_9,12943,12943,12943,12943
TA20_10_0,20911,20911,20911,20911
TA20_10_1,22440,22440,22440,22440
TA20_10_2,19833,19833,19833,19833
TA20_10_3,18710,18710,18710,18710
TA20_10_4,18641,18641,18641,18641
TA20_10_5,19245,19245,19245,19245
TA20_10_6,18363,18363,18363,18363
TA20_10_7,20241,20241,20241,20241
TA20_10_8,20330,20330,20330,20330
TA20_10_9,21320,21320,21320,21320
TA20_20_0,33623,33623,33623,33623
TA20_20_1,31587,31587,31587,31587
TA20_20_2,33920,33920,33920,33920
TA20_20_3,31661,31661,31661,31661
TA20_20_4,34557,34557,34557,34557
TA20_20_5,32564,32564,32564,32564
TA20_20_6,32922,32922,32922,32922
TA20_20_7,32412,32412,32412,32412
TA20_20_8,33600,33600,33600,33600
TA20_20_9,32262,32262,32262,32262
TA50_5_0,64802,64802,64802,64886
TA50_5_1,68051,68051,68051,68074
TA50_5_2,63162,63162,63162,63162
TA50_5_3,68226,68226,68226,68226
TA50_5_4,69351,69351,69351,69490
TA50_5_5,66841,66841,66841,66841
TA50_5_6,66253,66253,66253,66287
TA50_5_7,64332,64332,64332,64386
TA50_5_8,62981,62981,62981,63317
TA50_5_9,68770,68770,68770,68834
TA50_10_0,87114,87114,87114,87140
TA50_10_1,82820,82820,82820,82820
TA50_10_2,79931,79931,79931,79987
TA50_10_3,86446,86446,86446,86446
TA50_10_4,86377,86377,86377,86388
TA50_10_5,86587,86587,86587,86650
TA50_10_6,88750,88750,88750,89046
TA50_10_7,86727,86727,86727,86727
TA50_10_8,85441,85441,85441,85548
TA50_10_9,87998,87998,87998,88077
TA50_20_0,125831,125831,125831,125831
TA50_20_1,119247,119247,119247,119270
TA50_20_2,116459,116459,116459,116536
TA50_20_3,120261,120261,120261,120923
TA50_20_4,118184,118184,118184,118379
TA50_20_5,120586,120586,120586,120586
TA50_20_6,122880,122880,122880,123120
TA50_20_7,122489,122489,122489,122583
TA50_20_8,121872,121872,121872,121872
TA50_20_9,123954,123954,123954,124158
TA100_5_0,253167,253167,253167,252687
TA100_5_1,241925,241989,241925,241593
TA100_5_2,237832,237832,237832,237289
TA100_5_3,227522,227738,227522,227345
TA100_5_4,240301,240301,240301,240138
TA100_5_5,232247,232247,232342,231973
TA100_5_6,240366,240366,240366,240111
TA100_5_7,230866,230866,230945,230290
TA100_5_8,247526,247771,247526,247362
TA100_5_9,242933,242933,242933,243209
TA100_10_0,298385,298385,298385,296990
TA100_10_1,273674,273674,273674,273014
TA100_10_2,288114,288114,288114,287420
TA100_10_3,301044,301044,301044,299467
TA100_10_4,284148,284148,284233,283260
TA100_10_5,269686,269686,269686,268324
TA100_10_6,279463,279463,279463,279565
TA100_10_7,290703,290703,290908,289334
TA100_10_8,301970,301970,301970,301005
TA100_10_9,291283,291283,291283,290038
TA100_20_0,365463,365463,365463,365333
TA100_20_1,372001,372001,372449,370605
TA100_20_2,370027,370027,370027,368971
TA100_20_3,372393,372393,372393,371738
TA100_20_4,368915,368915,368915,367702
TA100_20_5,370908,370908,370908,369821
TA100_20_6,373408,373408,373408,372176
TA100_20_7,384525,384525,384525,382766
TA100_20_8,374423,374423,374423,372817
TA100_20_9,379296,379296,379296,378566
TA200_10_0,1041023,1042452,1041023,1035999
TA200_10_1,1028775,1028775,1028828,1024752
TA200_10_2,1042357,1043631,1042357,1038814
TA200_10_3,1023188,1023188,1025564,1019215
TA200_10_4,1028506,1028506,1028963,1024759
TA200_10_5,998340,998686,998340,994661
TA200_10_6,1042570,1042570,1042570,1038357
TA200_10_7,1035915,1035945,1035915,1033303
TA200_10_8,1015280,1015560,1015280,1011878
TA200_10_9,1021633,1021633,1021865,1017386
TA200_20_0,1219341,1221768,1219341,1205091
TA200_20_1,1231880,1231880,1233161,1224536
TA200_20_2,1254822,1254822,1259605,1248190
TA200_20_3,1226654,1226654,1228027,1217648
TA200_20_4,1215411,1215411,1215854,1203033
TA200_20_5,1218757,1219698,1218757,1207770
TA200_20_6,1234330,1237014,1234330,1224492
TA200_20_7,1233257,1233257,1240105,1222559
TA200_20_8,1220058,1222431,1220058,1212081
TA200_20_9,1234864,1234864,1235113,1229039
TA500_20_0,6558109,6562522,6558109,6529840
TA500_20_1,6678713,6678713,6679339,6642805
TA500_20_2,6624644,6632299,6624644,6585806
TA500_20_3,6633622,6633622,6646006,6601961
TA500_20_4,6587110,6609322,6587110,6556492
TA500_20_5,6602685,6605982,6602685,6563223
TA500_20_6,6576047,6576412,6576047,6530456
TA500_20_7,6628915,6628915,6629065,6594903
TA500_20_8,6569013,6569013,6587638,6532742
TA500_20_9,6614629,6614629,6623849,6589096
