instance_class,time_MRSILS,ARPD_MRSILS,time_ALGirtct,IGA60,IGA120,IGA240,ALGirtct60,ALGirtct120,ALGirtct240,time_BSCH,ARPD_BSCH
20_5,3.00,0.01,4.5,0.15,0.15,0.15,0.003,0.001,0.0001,0.00,1.25
20_10,6.00,0.00,9,0.0002,0,0,0,0,0,0.00,0.75
20_20,12.00,0.00,18,0,0,0,0,0,0,0.00,0.75
50_5,7.50,0.28,11.25,0.64,0.54,0.48,0.47,0.38,0.31,0.03,0.75
50_10,15.00,0.47,22.5,1.1,1.04,0.99,0.51,0.41,0.35,0.03,1.04
50_20,30.00,0.63,45,0.72,0.66,0.61,0.45,0.35,0.29,0.06,1.48
100_5,15.00,0.22,22.5,1.17,1.08,0.99,0.99,0.89,0.81,0.31,0.30
100_10,30.00,0.27,45,1.49,1.37,1.29,1.03,0.9,0.79,0.40,0.57
100_20,60.00,0.83,90,1.54,1.4,1.3,1.15,0.97,0.83,0.68,1.14
200_10,60.00,-0.71,90,1.27,1.17,1.09,0.86,0.73,0.64,7.25,-0.61
200_20,120.00,-0.83,180,1.09,0.92,0.8,0.7,0.53,0.39,8.57,-0.76
500_20,300.00,-1.90,450,0.49,0.42,0.36,0.63,0.42,0.24,215.44,-1.87
