instance_class,IBS_bi_min_walpha,IBS_bi_min_gap
20_5,0.03,0.0,0.0
20_10,0.01,0.0,0.06511949798478979
20_20,0.01,0.45327799270612,0.7470245874440624
50_5,0.0,0.10291272547077097,0.0
50_10,0.3,1.0217941621752709,0.10703474362178038
50_20,0.47,0.6195231637694378,2.921055059415171
100_5,0.0,0.0920172713975416,0.0
100_10,0.03,1.18172401208397,0.0
100_20,0.62,1.6459676764402364,1.4169303925539911
200_10,0.03,2.2393588350500697,1.0508893745154224
200_20,0.66,1.8805528668327827,0.9211060139707907
500_20,0.29,1.4886013410491254,0.1752434708939039
