instance_class,time,IGall_60,IGall_120,IGall_240,IGirms_60,IGirms_120,IGirms_240,VBIH_30,VBIH_60,VBIH_90
100_20,90,0.71,0.56,0.44,0.57,0.42,0.29,0.271102698193712,0.229394590779303,0.043312265391893
100_40,180,0.83,0.66,0.52,0.67,0.49,0.35,0.515307668990594,0.457209255329896,0.255127816510051
100_60,270,0.78,0.62,0.48,0.64,0.48,0.34,0.632455452677085,0.569951479966959,0.412102464139666
200_20,180,0.59,0.47,0.37,0.45,0.32,0.22,0.216515788723352,0.196022524770119,0.089992159098996
200_40,360,0.95,0.71,0.52,0.79,0.52,0.3,0.563391048427174,0.519053625348772,0.236211443641781
200_60,540,0.93,0.73,0.53,0.74,0.5,0.28,0.60767669188044,0.579537308132952,0.316233074495661
300_20,270,0.48,0.39,0.3,0.35,0.24,0.17,0.202659133478675,0.16335554395554,0.119139005742007
300_40,540,0.84,0.64,0.44,0.7,0.48,0.24,0.527137729800821,0.489328474752729,0.315625085618776
300_60,810,0.94,0.73,0.51,0.77,0.53,0.29,0.658842805535267,0.618868073514033,0.387902955169089
400_20,360,0.28,0.23,0.19,0.21,0.16,0.12,0.152277604415582,0.122290630007601,0.066533599467735
400_40,720,0.75,0.56,0.36,0.62,0.42,0.22,0.471131916936749,0.431692302416108,0.268789546787389
400_60,1080,0.8,0.6,0.42,0.68,0.46,0.23,0.577162694836487,0.540330859592334,0.323649956507082
500_20,450,0.22,0.19,0.15,0.17,0.13,0.09,0.116428563301871,0.106188917669457,0.053094458834728
500_40,900,0.68,0.5,0.34,0.54,0.37,0.2,0.545927848995097,0.487962536843109,0.34357621384633
500_60,1350,0.72,0.53,0.35,0.61,0.41,0.21,0.408224337977224,0.366588708287107,0.17727670453991
600_20,540,0.19,0.16,0.12,0.17,0.13,0.09,0.120605765528383,0.105649377718803,0.088783663805853
600_40,1080,0.63,0.46,0.29,0.52,0.34,0.17,0.497139133190227,0.374573261507726,0.274726917259073
600_60,1620,0.7,0.51,0.34,0.62,0.42,0.21,0.638045706158767,0.499449239392625,0.42945384068378
700_20,630,0.16,0.13,0.1,0.14,0.1,0.07,0.096313207257237,0.060641649013815,0.050763371346409
700_40,1260,0.61,0.45,0.29,0.48,0.31,0.15,0.418567574515147,0.283805433588738,0.198378180477391
700_60,1890,0.66,0.49,0.31,0.57,0.37,0.19,0.553799012432422,0.404980775611375,0.310078654097621
800_20,720,0.15,0.13,0.1,0.15,0.1,0.07,0.067407344993199,0.062351794118713,0.047425882013065
800_40,1440,0.56,0.4,0.25,0.46,0.29,0.14,0.317261944418294,0.295666996717119,0.221692814166286
800_60,2160,0.61,0.45,0.28,0.51,0.32,0.15,0.406724511930586,0.368329718004345,0.291323210412154
