instance,best_known,IGrms,VBIH,GmysBB,IBS_forward_bound_primal,IBS_forward_bound_time_to_best_known,IBS_forward_bound_time_opt,IBS_bi_min_bound_primal,IBS_bi_min_bound_time_to_best_known,IBS_bi_min_bound_time_opt,IBS_forward_idle_primal,IBS_forward_idle_time_to_best_known,IBS_forward_idle_time_opt,IBS_bi_min_idle_primal,IBS_bi_min_idle_time_to_best_known,IBS_bi_min_idle_time_opt,IBS_forward_alpha_primal,IBS_forward_alpha_time_to_best_known,IBS_forward_alpha_time_opt,IBS_bi_min_alpha_primal,IBS_bi_min_alpha_time_to_best_known,IBS_bi_min_alpha_time_opt,IBS_forward_walpha_primal,IBS_forward_walpha_time_to_best_known,IBS_forward_walpha_time_opt,IBS_bi_min_walpha_primal,IBS_bi_min_walpha_time_to_best_known,IBS_bi_min_walpha_time_opt,IBS_forward_gap_primal,IBS_forward_gap_time_to_best_known,IBS_forward_gap_time_opt,IBS_bi_min_gap_primal,IBS_bi_min_gap_time_to_best_known,IBS_bi_min_gap_time_opt,IGbob_30_primal,IGbob_30_time_to_best_known,IGbob_30_time_opt,IGbob_45_primal,IGbob_45_time_to_best_known,IGbob_45_time_opt,IGbob_90_primal,IGbob_90_time_to_best_known,IGbob_90_time_opt
VFR100_20_1,6121,6176,6173,6121,6969,-,-,6229,-,-,6245,-,-,7175,-,-,6280,-,-,7185,-,-,7602,-,-,6163,-,-,7602,-,-,6229,-,-,6192,-,-,6198,-,-,6188,-,-
VFR100_20_2,6119,6119,6221,6224,7059,-,-,6347,-,-,6413,-,-,7290,-,-,6459,-,-,7211,-,-,7611,-,-,6282,-,-,7585,-,-,6350,-,-,6295,-,-,6273,-,-,6282,-,-
VFR100_20_3,6157,6267,6227,6157,6898,-,-,6291,-,-,6384,-,-,6661,-,-,6348,-,-,6643,-,-,7527,-,-,6231,-,-,7527,-,-,6296,-,-,6224,-,-,6231,-,-,6221,-,-
VFR100_20_4,6173,6210,6264,6173,7065,-,-,6295,-,-,6425,-,-,7381,-,-,6413,-,-,7173,-,-,7541,-,-,6250,-,-,7541,-,-,6287,-,-,6249,-,-,6241,-,-,6237,-,-
VFR100_20_5,6221,6223,6285,6221,7048,-,-,6404,-,-,6354,-,-,7302,-,-,6398,-,-,7212,-,-,7587,-,-,6319,-,-,7587,-,-,6404,-,-,6284,-,-,6284,-,-,6268,-,-
VFR100_20_6,6247,6260,6401,6247,6919,-,-,6438,-,-,6432,-,-,6749,-,-,6407,-,-,6789,-,-,7653,-,-,6333,-,-,7653,-,-,6445,-,-,6299,-,-,6302,-,-,6301,-,-
VFR100_20_7,6074,6274,6074,6358,7177,-,-,6567,-,-,6624,-,-,6749,-,-,6565,-,-,6687,-,-,7656,-,-,6394,-,-,7656,-,-,6561,-,-,6433,-,-,6419,-,-,6419,-,-
VFR100_20_8,6023,6411,6328,6023,6673,-,-,6169,-,-,6185,-,-,6305,-,-,6171,-,-,6299,-,-,7407,-,-,6091,-,-,7407,-,-,6149,-,-,6090,-,-,6094,-,-,6091,-,-
VFR100_20_9,6074,6074,6125,6286,7165,-,-,6442,-,-,6696,-,-,6591,-,-,6625,-,-,6543,-,-,7637,-,-,6345,-,-,7637,-,-,6443,-,-,6332,-,-,6345,-,-,6345,-,-
VFR100_20_10,6048,6324,6267,6048,6829,-,-,6254,-,-,6472,-,-,6578,-,-,6482,-,-,6575,-,-,7404,-,-,6175,-,-,7408,-,-,6266,-,-,6132,-,-,6145,-,-,6136,-,-
VFR100_40_1,7840,7840,7846,missing,9118,-,-,8223,-,-,8144,-,-,8511,-,-,8109,-,-,8510,-,-,9456,-,-,7947,-,-,9421,-,-,8223,-,-,7853,-,-,7850,-,-,7836,-,-
VFR100_40_2,7894,7894,7894,missing,9274,-,-,8304,-,-,8339,-,-,8787,-,-,8353,-,-,8782,-,-,9516,-,-,8014,-,-,9516,-,-,8294,-,-,7999,-,-,7976,-,-,7981,-,-
VFR100_40_3,7913,7957,7913,missing,8992,-,-,8279,-,-,8243,-,-,8625,-,-,8299,-,-,8579,-,-,9342,-,-,7963,-,-,9342,-,-,8261,-,-,7916,-,-,7901,-,-,7893,-,-
VFR100_40_4,7889,7889,7997,missing,9128,-,-,8256,-,-,8131,-,-,8160,-,-,8083,-,-,8133,-,-,9407,-,-,7981,-,-,9407,-,-,8240,-,-,7936,-,-,7923,-,-,7920,-,-
VFR100_40_5,7895,7895,7993,missing,9224,-,-,8355,-,-,8419,-,-,8408,-,-,8456,-,-,8402,-,-,9525,-,-,8045,-,-,9577,-,-,8357,-,-,8022,-,-,8002,-,-,8002,-,-
