instance_class,IBS_bi_min_walpha,IBS_bi_min_gap
100_20,0.71,0.5552273336625769,2.057210307766811
100_40,0.83,1.6556661345616628,5.57432712073505
100_60,0.78,3.035498898014443,6.594334159664099
200_20,0.59,1.0837583886137385,0.7193574209037801
200_40,0.95,0.06910738427013477,5.467823088635018
200_60,0.93,1.821199506970092,7.84800329303836
300_20,0.48,1.2401411766247525,0.1252528656472265
300_40,0.84,-0.477920500877507,5.7501732948214626
300_60,0.94,1.0802334547476289,7.965365418458172
400_20,0.28,0.9121979300935508,-0.007423913492707922
400_40,0.75,-0.842930211797084,5.810277623198979
400_60,0.8,0.06627485694201135,8.371856746037512
500_20,0.22,0.9500650083256759,-0.0021545269428281666
500_40,0.68,-0.6571798832450111,5.121182650117867
500_60,0.72,-0.605568090789171,7.916923435825451
600_20,0.19,0.9244658970497168,-0.08041502419817442
600_40,0.63,-0.49488854740375476,5.409775663867014
600_60,0.7,-0.6856814150733788,7.585617668811165
700_20,0.16,1.0065768398741444,-0.11014159375379895
700_40,0.61,-0.36790126983420735,4.329039069521987
700_60,0.66,-1.0597423411196976,7.949438343191028
800_20,0.15,0.8205389946896965,-0.07930413020585128
800_40,0.56,-0.3835066118089867,3.991853718292215
800_60,0.61,-1.1064109871837762,7.9357736233812926
