name,IGrms,VBIH,GmysBB,reference_objective,VBIH15,VBIH30
VFR100_20_1,6176,6173,6121,6176,6186,6186
VFR100_20_2,6119,6221,6224,6119,6298,6298
VFR100_20_3,6267,6227,6157,6267,6235,6235
VFR100_20_4,6210,6264,6173,6210,6238,6236
VFR100_20_5,6223,6285,6221,6223,6268,6264
VFR100_20_6,6260,6401,6247,6260,6286,6286
VFR100_20_7,6274,6074,6358,6274,6423,6410
VFR100_20_8,6411,6328,6023,6411,6092,6088
VFR100_20_9,6074,6125,6286,6074,6342,6341
VFR100_20_10,6324,6267,6048,6324,6139,6137
VFR100_40_1,7840,7846,,7840,7858,7858
VFR100_40_2,7894,7894,,7894,8002,8002
VFR100_40_3,7957,7913,,7957,7933,7933
VFR100_40_4,7889,7997,,7889,7940,7926
VFR100_40_5,7895,7993,,7895,8012,8000
VFR100_40_6,7968,7980,,7968,8014,8014
VFR100_40_7,7988,7957,,7988,7991,7991
VFR100_40_8,7956,7888,,7956,7983,7972
VFR100_40_9,7936,7917,,7936,7919,7915
VFR100_40_10,7853,7976,,7853,7932,7927
VFR100_60_1,9326,9353,,9326,9398,9390
VFR100_60_2,9547,9349,,9547,9594,9588
VFR100_60_3,9513,9403,,9513,9371,9368
VFR100_60_4,9316,9431,,9316,9430,9422
VFR100_60_5,9366,9630,,9366,9465,9456
VFR100_60_6,9391,9346,,9391,9669,9669
VFR100_60_7,9622,9523,,9622,9364,9346
VFR100_60_8,9326,9488,,9326,9575,9575
VFR100_60_9,9507,9572,,9507,9536,9536
VFR100_60_10,9480,9567,,9480,9589,9582
VFR200_20_1,11271,11272,11181,11271,11305,11305
VFR200_20_2,11286,11294,11254,11286,11269,11264
VFR200_20_3,11227,11188,11233,11227,11309,11305
VFR200_20_4,11297,11143,11090,11297,11205,11195
VFR200_20_5,11175,11310,11076,11175,11160,11157
VFR200_20_6,11152,11365,11208,11152,11323,11323
VFR200_20_7,11301,11128,11266,11301,11367,11367
VFR200_20_8,11347,11091,11041,11347,11132,11132
VFR200_20_9,11107,11294,11008,11107,11109,11108
VFR200_20_10,11069,11240,11193,11069,11296,11296
VFR200_40_1,13077,13124,,13077,13175,13172
VFR200_40_2,13134,13222,,13134,13063,13063
VFR200_40_3,13027,13163,,13027,13285,13285
VFR200_40_4,13197,12974,,13197,13173,13171
VFR200_40_5,13111,13061,,13111,13028,13018
VFR200_40_6,12927,13220,,12927,13103,13095
VFR200_40_7,13023,13132,,13023,13266,13265
VFR200_40_8,13188,13033,,13188,13198,13193
VFR200_40_9,13089,13146,,13089,13079,13054
VFR200_40_10,13042,13049,,13042,13182,13178
VFR200_60_1,14861,14906,,14861,14962,14960
VFR200_60_2,14881,15134,,14881,14957,14957
VFR200_60_3,14890,14968,,14890,15202,15202
VFR200_60_4,15103,15042,,15103,14992,14979
VFR200_60_5,14918,14996,,14918,15095,15086
VFR200_60_6,15020,15006,,15020,15063,15062
VFR200_60_7,14909,14894,,14909,15043,15035
VFR200_60_8,14956,14925,,14956,14922,14922
VFR200_60_9,14852,14908,,14852,14965,14962
VFR200_60_10,14867,14909,,14867,14963,14957
VFR300_20_1,16092,16089,15996,16092,16115,16090
VFR300_20_2,16794,16129,16409,16794,16497,16484
VFR300_20_3,16465,16168,16010,16465,16142,16142
VFR300_20_4,16115,16307,16052,16115,16202,16187
VFR300_20_5,16125,16095,21399,16125,16307,16307
VFR300_20_6,16293,16244,16021,16293,16099,16099
VFR300_20_7,16062,16369,16188,16062,16254,16254
VFR300_20_8,16228,16324,16287,16228,16385,16385
VFR300_20_9,16363,16798,16203,16363,16342,16331
VFR300_20_10,16298,16483,16780,16298,16822,16822
VFR300_40_1,18127,18199,,18127,18254,18242
VFR300_40_2,18253,18348,,18253,18396,18388
VFR300_40_3,18341,18227,,18341,18385,18383
VFR300_40_4,18276,18343,,18276,18298,18294
VFR300_40_5,18181,18340,,18181,18371,18354
VFR300_40_6,18320,18396,,18320,18361,18361
VFR300_40_7,18250,18290,,18250,18430,18420
VFR300_40_8,18283,18261,,18283,18326,18317
VFR300_40_9,18238,18286,,18238,18317,18310
VFR300_40_10,18226,18373,,18226,18319,18319
VFR300_60_1,20397,20483,,20397,20586,20584
VFR300_60_2,20290,20328,,20290,20307,20299
VFR300_60_3,20224,20293,,20224,20387,20384
VFR300_60_4,20244,20200,,20244,20385,20379
VFR300_60_5,20235,20280,,20235,20256,20256
VFR300_60_6,20156,20358,,20156,20334,20334
VFR300_60_7,20180,20319,,20180,20430,20400
VFR300_60_8,20285,20405,,20285,20379,20366
VFR300_60_9,20291,20385,,20291,20482,20467
VFR300_60_10,20326,20249,,20326,20417,20413
VFR400_20_1,21027,21042,20952,21027,21078,21075
VFR400_20_2,21524,21428,21346,21524,21429,21429
VFR400_20_3,21411,21237,21379,21411,21446,21428
VFR400_20_4,21426,21528,21125,21426,21251,21251
VFR400_20_5,21231,21188,16245,21231,21546,21538
VFR400_20_6,21497,21599,21075,21497,21207,21197
VFR400_20_7,21165,21264,21507,21165,21621,21618
VFR400_20_8,21580,21293,21198,21580,21292,21271
VFR400_20_9,21264,21526,21236,21264,21336,21335
VFR400_20_10,21301,21411,21456,21301,21545,21545
VFR400_40_1,23362,23393,,23362,23475,23473
VFR400_40_2,23504,23467,,23504,23428,23415
VFR400_40_3,23257,23269,,23257,23490,23490
VFR400_40_4,23405,23213,,23405,23326,23316
VFR400_40_5,23220,23298,,23220,23267,23267
VFR400_40_6,23141,23415,,23141,23344,23324
VFR400_40_7,23292,23290,,23292,23506,23493
VFR400_40_8,23364,23424,,23364,23346,23338
VFR400_40_9,23266,23606,,23266,23502,23485
VFR400_40_10,23457,23380,,23457,23683,23674
VFR400_60_1,25392,25395,,25392,25512,25506
VFR400_60_2,25618,25707,,25618,25637,25631
VFR400_60_3,25498,25638,,25498,25822,25814
VFR400_60_4,25590,25669,,25590,25764,25764
VFR400_60_5,25608,25407,,25608,25776,25766
VFR400_60_6,25615,25415,,25615,25463,25462
VFR400_60_7,25358,25603,,25358,25471,25455
VFR400_60_8,25372,25673,,25372,25778,25771
VFR400_60_9,25541,25658,,25541,25730,25712
VFR400_60_10,25622,25549,,25622,25734,25712
VFR500_20_1,26355,26374,26253,26355,26414,26414
VFR500_20_2,26043,26359,26555,26043,26642,26642
VFR500_20_3,26631,26080,26268,26631,26383,26382
VFR500_20_4,26357,26759,25994,26357,26115,26106
VFR500_20_5,26058,26411,26703,26058,26785,26785
VFR500_20_6,26729,26409,26325,26729,26443,26443
VFR500_20_7,26395,26305,26313,26395,26415,26415
VFR500_20_8,26401,26430,26217,26401,26305,26305
VFR500_20_9,26302,26034,26345,26302,26435,26435
VFR500_20_10,26410,26641,26345,26410,26051,26034
VFR500_40_1,28362,28402,,28362,28490,28472
VFR500_40_2,28585,28526,,28585,28672,28652
VFR500_40_3,28503,28615,,28503,28564,28541
VFR500_40_4,28374,28579,,28374,28706,28699
VFR500_40_5,28477,28432,,28477,28669,28621
VFR500_40_6,28543,28553,,28543,28486,28486
VFR500_40_7,28248,28488,,28248,28608,28601
VFR500_40_8,28486,28640,,28486,28578,28571
VFR500_40_9,28435,28644,,28435,28695,28690
VFR500_40_10,28640,28613,,28640,28739,28709
VFR500_60_1,30609,30682,,30609,30764,30756
VFR500_60_2,30828,30852,,30828,30717,30717
VFR500_60_3,30597,30793,,30597,30880,30873
VFR500_60_4,30823,30763,,30823,30885,30870
VFR500_60_5,30796,30788,,30796,30829,30805
VFR500_60_6,30700,30826,,30700,30920,30912
VFR500_60_7,30829,30837,,30829,30898,30892
VFR500_60_8,30733,30805,,30733,30877,30869
VFR500_60_9,30729,30866,,30729,30924,30912
VFR500_60_10,30785,30664,,30785,30990,30950
VFR600_20_1,31359,31372,31303,31359,31409,31392
VFR600_20_2,31107,31429,31281,31107,31444,31442
VFR600_20_3,31372,31487,31374,31372,31441,31437
VFR600_20_4,31412,31407,31417,31412,31492,31489
VFR600_20_5,31480,31696,31323,31480,31411,31407
VFR600_20_6,31387,31527,31613,31387,31714,31714
VFR600_20_7,31668,31523,31461,31668,31527,31527
VFR600_20_8,31483,31532,31414,31483,31540,31523
VFR600_20_9,31465,31107,31473,31465,31541,31541
VFR600_20_10,31514,31397,31021,31514,31107,31107
VFR600_40_1,33618,33683,,33618,33734,33710
VFR600_40_2,33396,33713,,33396,33485,33437
VFR600_40_3,33356,33584,,33356,33801,33757
VFR600_40_4,33612,33401,,33612,33686,33649
VFR600_40_5,33477,33626,,33477,33463,33430
VFR600_40_6,33307,33545,,33307,33739,33665
VFR600_40_7,33552,33298,,33552,33634,33590
VFR600_40_8,33492,33567,,33492,33409,33368
VFR600_40_9,33282,33473,,33282,33660,33629
VFR600_40_10,33422,33405,,33422,33566,33532
VFR600_60_1,35863,35976,,35863,36080,36037
VFR600_60_2,35804,35917,,35804,36059,36015
VFR600_60_3,35791,36000,,35791,36051,35981
VFR600_60_4,35896,36004,,35896,36158,36075
VFR600_60_5,35883,35943,,35883,36117,36093
VFR600_60_6,35929,35965,,35929,36092,36038
VFR600_60_7,35828,35894,,35828,36167,36095
VFR600_60_8,35882,35987,,35882,35996,35950
VFR600_60_9,35784,35943,,35784,36117,36100
VFR600_60_10,35935,35923,,35935,36046,36002
VFR700_20_1,36354,36388,36285,36354,36403,36397
VFR700_20_2,36376,36519,36220,36376,36317,36317
VFR700_20_3,36303,36380,36419,36303,36535,36535
VFR700_20_4,36487,36556,36361,36487,36394,36386
VFR700_20_5,36379,36645,36496,36379,36613,36556
VFR700_20_6,36547,36597,36556,36547,36663,36660
VFR700_20_7,36610,36492,36540,36610,36599,36599
VFR700_20_8,36609,36315,36418,36609,36536,36499
VFR700_20_9,36481,36386,36212,36481,36328,36315
VFR700_20_10,36290,36316,36362,36290,36399,36393
VFR700_40_1,38720,38767,,38720,38861,38793
VFR700_40_2,38647,38460,,38647,38615,38581
VFR700_40_3,38499,38597,,38499,38560,38521
VFR700_40_4,38393,38490,,38393,38682,38629
VFR700_40_5,38593,38440,,38593,38564,38527
VFR700_40_6,38430,38355,,38430,38532,38490
VFR700_40_7,38336,38817,,38336,38451,38400
VFR700_40_8,38287,38569,,38287,38980,38910
VFR700_40_9,38766,38712,,38766,38678,38607
VFR700_40_10,38452,38560,,38452,38812,38758
VFR700_60_1,41125,41192,,41125,41323,41245
VFR700_60_2,41093,41173,,41093,41107,41057
VFR700_60_3,41008,41120,,41008,41260,41188
VFR700_60_4,40961,41167,,40961,41232,41171
VFR700_60_5,41070,41159,,41070,41271,41197
VFR700_60_6,41022,40734,,41022,41253,41200
VFR700_60_7,40994,41305,,40994,40849,40803
VFR700_60_8,40572,41111,,40572,41389,41359
VFR700_60_9,41121,41186,,41121,41203,41125
VFR700_60_10,40930,41002,,40930,41279,41211
VFR800_20_1,41477,41479,41413,41477,41485,41485
VFR800_20_2,41561,41399,41282,41561,41417,41415
VFR800_20_3,41337,41426,41319,41337,41409,41404
VFR800_20_4,41362,41705,41375,41362,41426,41426
VFR800_20_5,41426,41961,41626,41426,41716,41716
VFR800_20_6,41702,41395,41919,41702,41974,41974
VFR800_20_7,41959,41435,41342,41959,41406,41406
VFR800_20_8,41379,41783,41390,41379,41455,41444
VFR800_20_9,41429,41568,41697,41429,41806,41806
VFR800_20_10,41753,41345,41489,41753,41571,41568
VFR800_40_1,43456,43466,,43456,43515,43494
VFR800_40_2,43592,43596,,43592,43602,43601
VFR800_40_3,43483,43743,,43483,43655,43632
VFR800_40_4,43512,43794,,43512,43787,43786
VFR800_40_5,43557,43638,,43557,43811,43808
VFR800_40_6,43635,43484,,43635,43675,43672
VFR800_40_7,43549,43666,,43549,43537,43530
VFR800_40_8,43458,43643,,43458,43704,43690
VFR800_40_9,43548,43630,,43548,43691,43678
VFR800_40_10,43497,43575,,43497,43691,43683
VFR800_60_1,46130,46279,,46130,46331,46323
VFR800_60_2,46004,46258,,46004,46282,46275
VFR800_60_3,46164,46261,,46164,46330,46325
VFR800_60_4,46108,46164,,46108,46329,46295
VFR800_60_5,46035,46288,,46035,46208,46182
VFR800_60_6,46101,46061,,46101,46312,46302
VFR800_60_7,46110,46257,,46110,46103,46070
VFR800_60_8,45986,46279,,45986,46356,46334
VFR800_60_9,46136,46211,,46136,46352,46333
VFR800_60_10,46226,46232,,46226,46272,46259
