instance,ALGirtct,shake_ls
TA1,14033,14033
TA2,15151,15151
TA3,13301,13301
TA4,15447,15447
TA5,13529,13529
TA6,13123,13123
TA7,13548,13548
TA8,13948,13948
TA9,14295,14295
TA10,12943,12943
TA11,20911,20911
TA12,22440,22440
TA13,19833,19833
TA14,18710,18710
TA15,18641,18641
TA16,19245,19245
TA17,18363,18363
TA18,20241,20241
TA19,20330,20330
TA20,21320,21320
TA21,33623,33623
TA22,31587,31587
TA23,33920,33920
TA24,31661,31661
TA25,34557,34557
TA26,32564,32564
TA27,32922,32922
TA28,32412,32412
TA29,33600,33600
TA30,32262,32262
TA31,64802,64802
TA32,68051,68051
TA33,63162,63162
TA34,68226,68226
TA35,69351,69351
TA36,66841,66841
TA37,66253,66253
TA38,64332,64332
TA39,62981,62981
TA40,68770,68770
TA41,87114,87114
TA42,82820,82820
TA43,79931,79931
TA44,86446,86446
TA45,86377,86377
TA46,86587,86587
TA47,88750,88750
TA48,86727,86727
TA49,85441,85441
TA50,87998,87998
TA51,125831,125831
TA52,119247,119247
TA53,116459,116459
TA54,120261,120261
TA55,118184,118184
TA56,120586,120586
TA57,122880,122880
TA58,122489,122489
TA59,121872,121872
TA60,123954,123954
TA61,253167,253167
TA62,241989,241925
TA63,237832,237832
TA64,227738,227522
TA65,240301,240301
TA66,232247,232342
TA67,240366,240366
TA68,230866,230945
TA69,247771,247526
TA70,242933,242933
TA71,298385,298385
TA72,273674,273674
TA73,288114,288114
TA74,301044,301044
TA75,284148,284233
TA76,269686,269686
TA77,279463,279463
TA78,290703,290908
TA79,301970,301970
TA80,291283,291283
TA81,365463,365463
TA82,372001,372449
TA83,370027,370027
TA84,372393,372393
TA85,368915,368915
TA86,370908,370908
TA87,373408,373408
TA88,384525,384525
TA89,374423,374423
TA90,379296,379296
TA91,1042452,1041023
TA92,1028775,1028828
TA93,1043631,1042357
TA94,1023188,1025564
TA95,1028506,1028963
TA96,998686,998340
TA97,1042570,1042570
TA98,1035945,1035915
TA99,1015560,1015280
TA100,1021633,1021865
TA101,1221768,1219341
TA102,1231880,1233161
TA103,1254822,1259605
TA104,1226654,1228027
TA105,1215411,1215854
TA106,1219698,1218757
TA107,1237014,1234330
TA108,1233257,1240105
TA109,1222431,1220058
TA110,1234864,1235113
TA111,6562522,6558109
TA112,6678713,6679339
TA113,6632299,6624644
TA114,6633622,6646006
TA115,6609322,6587110
TA116,6605982,6602685
TA117,6576412,6576047
TA118,6628915,6629065
TA119,6569013,6587638
TA120,6614629,6623849
