instance_class,IGa60,IGa120,IGa240
VFR100_20,0.71,0.56,0.44
VFR100_40,0.83,0.66,0.52
VFR100_60,0.78,0.62,0.48
VFR200_20,0.59,0.47,0.37
VFR200_40,0.95,0.71,0.52
VFR200_60,0.93,0.73,0.53
VFR300_20,0.48,0.39,0.3
VFR300_40,0.84,0.64,0.44
VFR300_60,0.94,0.73,0.51
VFR400_20,0.28,0.23,0.19
VFR400_40,0.75,0.56,0.36
VFR400_60,0.8,0.6,0.42
VFR500_20,0.22,0.19,0.15
VFR500_40,0.68,0.5,0.34
VFR500_60,0.72,0.53,0.35
VFR600_20,0.19,0.16,0.12
VFR600_40,0.63,0.46,0.29
VFR600_60,0.7,0.51,0.34
VFR700_20,0.16,0.13,0.1
VFR700_40,0.61,0.45,0.29
VFR700_60,0.66,0.49,0.31
VFR800_20,0.15,0.13,0.1
VFR800_40,0.56,0.4,0.25
VFR800_60,0.61,0.45,0.28
