instance_class,IGirms60,IGirms120,IGirms240
VFR100_20,0.57,0.42,0.29
VFR100_40,0.67,0.49,0.35
VFR100_60,0.64,0.48,0.34
VFR200_20,0.45,0.32,0.22
VFR200_40,0.79,0.52,0.3
VFR200_60,0.74,0.5,0.28
VFR300_20,0.35,0.24,0.17
VFR300_40,0.7,0.48,0.24
VFR300_60,0.77,0.53,0.29
VFR400_20,0.21,0.16,0.12
VFR400_40,0.62,0.42,0.22
VFR400_60,0.68,0.46,0.23
VFR500_20,0.17,0.13,0.09
VFR500_40,0.54,0.37,0.2
VFR500_60,0.61,0.41,0.21
VFR600_20,0.17,0.13,0.09
VFR600_40,0.52,0.34,0.17
VFR600_60,0.62,0.42,0.21
VFR700_20,0.14,0.1,0.07
VFR700_40,0.48,0.31,0.15
VFR700_60,0.57,0.37,0.19
VFR800_20,0.15,0.1,0.07
VFR800_40,0.46,0.29,0.14
VFR800_60,0.51,0.32,0.15
